user_id,username,password,email,role,enabled,creation
1,admin,$2a$10$zxvEq8XzYEYtNjbkRsJEbukHeRx3XS6MDXHMu8cNuNsRfZJWwswDy,admin@tp.edu.sg,ROLE_ADMIN,1,"2023-05-11 00:31:27"
2,kitboga,60652,bestgoats@yahoo.com,ROLE_USER,1,"2023-05-11 00:31:27"
3,tom,password123,tomcat@gmail.com,ROLE_USER,1,"2023-05-11 00:31:27"
4,pierogi,secureP@ssword101,pierogi@gmail.com,ROLE_USER,1,"2023-05-11 00:31:27"
5,scammerpayback,"His 1 Scorer3 Will Enshrine The5 Offshoot",scammerpayback@gmail.com,ROLE_USER,1,"2023-05-11 00:31:27"
6,thstockguy,"An Usher7 Beguails2 The Terrier 69420",tsg@gmail.com,ROLE_USER,1,"2023-05-11 00:31:27"
7,esther,"When7 Does The1 Stump Prod Their Rash",bestgoats@aol.com,ROLE_USER,1,"2023-05-11 00:31:27"
8,anderson,"The 1 Stacyrile Arouses3 A5 Newscast",anderson001@tp.com,ROLE_USER,1,"2023-05-11 00:31:27"
9,xyzTheOne,"Their Listing Thing6 Beat7 My Fare",kekw123@gmail.com,ROLE_USER,1,"2023-05-11 00:31:27"
10,firstUser,"Will Her Dozy One5 Fumble Their Stranger1",alphacenturion@gmail.com,ROLE_USER,1,"2023-05-11 00:31:27"
11,Number2,"Quarries Might6 Unite Onto2 This Punctual Chumper",lukeskywalker@disney.com,ROLE_USER,1,"2023-05-11 00:31:27"
